column,dtype,non_null_count,unique_values
FILENAME,str,235795,235795
URL,str,235795,235370
URLLength,int64,235795,482
Domain,str,235795,220086
DomainLength,int64,235795,101
IsDomainIP,int64,235795,2
TLD,str,235795,695
URLSimilarityIndex,float64,235795,36360
CharContinuationRate,float64,235795,898
TLDLegitimateProb,float64,235795,465
URLCharProb,float64,235795,227421
TLDLength,int64,235795,12
NoOfSubDomain,int64,235795,10
HasObfuscation,int64,235795,2
NoOfObfuscatedChar,int64,235795,20
ObfuscationRatio,float64,235795,146
NoOfLettersInURL,int64,235795,421
LetterRatioInURL,float64,235795,709
NoOfDegitsInURL,int64,235795,182
DegitRatioInURL,float64,235795,575
NoOfEqualsInURL,int64,235795,25
NoOfQMarkInURL,int64,235795,5
NoOfAmpersandInURL,int64,235795,31
NoOfOtherSpecialCharsInURL,int64,235795,74
SpacialCharRatioInURL,float64,235795,240
IsHTTPS,int64,235795,2
LineOfCode,int64,235795,10738
LargestLineLength,int64,235795,26181
HasTitle,int64,235795,2
Title,str,235795,197874
DomainTitleMatchScore,float64,235795,152
URLTitleMatchScore,float64,235795,497
HasFavicon,int64,235795,2
Robots,int64,235795,2
IsResponsive,int64,235795,2
NoOfURLRedirect,int64,235795,2
NoOfSelfRedirect,int64,235795,2
HasDescription,int64,235795,2
NoOfPopup,int64,235795,115
NoOfiFrame,int64,235795,119
HasExternalFormSubmit,int64,235795,2
HasSocialNet,int64,235795,2
HasSubmitButton,int64,235795,2
HasHiddenFields,int64,235795,2
HasPasswordField,int64,235795,2
Bank,int64,235795,2
Pay,int64,235795,2
Crypto,int64,235795,2
HasCopyrightInfo,int64,235795,2
NoOfImage,int64,235795,992
NoOfCSS,int64,235795,209
NoOfJS,int64,235795,253
NoOfSelfRef,int64,235795,1374
NoOfEmptyRef,int64,235795,296
NoOfExternalRef,int64,235795,1191
label,int64,235795,2
