,URLLength,DomainLength,IsDomainIP,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
URLLength,1.0,0.24309138684232842,0.2772717517266342,-0.42110421978586166,-0.2411043758168645,-0.01665561393993126,-0.24521507082712193,0.033338979570906556,0.07105807118177496,0.16198047862214376,0.459094097850203,0.1274722769995171,0.9560469859044239,0.3126321034974079,0.8358093990245988,0.3043789774836634,0.685091345799589,0.47490143708610355,0.5003868541440458,0.7825819191340411,0.19911163631548812,0.013117230777536393,-0.06063647765413158,0.04521923929832912,-0.07545554895139764,-0.215876938173771,-0.19323380864873238,-0.09454788162582957,-0.0737697567316917,-0.08254865713079561,0.02997477445789747,-0.0051677940448874235,-0.14910414518410958,-0.010952412674526383,-0.04487497167017706,-0.03544349299974047,-0.18090878784807268,-0.06742047513415779,-0.07255070570396357,0.02156111230334522,-0.03173439766549624,-0.057815699020767095,-0.02516291978492001,-0.12642042258357322,-0.06463902681568212,-0.01450711979787818,-0.07864303214147722,-0.07472202141173108,-0.02320609704152394,-0.05905495958936134,-0.23344507450505575
DomainLength,0.24309138684232842,1.0,-0.04139819461671197,-0.42069446566292124,-0.5774246352402355,0.02720908512670825,-0.178103608849298,0.15266926317022744,0.39915746210115605,0.04164252646059364,0.011304388428913367,0.02162677260819464,0.27760152453370346,0.5478538027950636,0.13170862101833847,0.2896281575497287,0.020032828574254393,0.06447665232947458,0.01632027113395754,0.2729298362816265,0.18280338826264683,-0.019217986793710312,-0.07517097633839852,0.06713094000422393,-0.10713284695677343,-0.2964926650510586,-0.32860319497057,-0.14831653349560978,-0.08259370114808748,-0.1197369551941459,0.019386703995570267,-0.04680266790493819,-0.2028211705216636,-0.012502163337866268,-0.05168687813545145,-0.03856029795721725,-0.21605472001851753,-0.11107657167084642,-0.11188153540186313,0.009409024311438982,-0.03994352153193041,-0.06589461793206658,-0.034772725594296144,-0.196859822728601,-0.08345789316521925,-0.017595545177325672,-0.10221637552856724,-0.09671157413380307,-0.03167286847733963,-0.07009857119334689,-0.2831518897971003
IsDomainIP,0.2772717517266342,-0.04139819461671197,1.0,-0.12143931588410971,-0.10130658891500607,-0.0532195230123121,-0.1117685826885214,-0.011124868881499052,0.08461882376906057,0.0012392627037305795,0.00035415187066286177,0.0009770348260253908,0.24430003092494504,-0.002629855905059943,0.22470335632374028,0.1612568381236877,0.28835084428499674,0.38952348867810643,0.17881412539225486,0.2858461541656512,0.11548398401042351,-0.011740601253481813,-0.01621100184410168,0.002159382884956477,-0.004601836994316226,-0.052032791583083444,-0.05445763265736593,-0.03089006594553097,-0.028260697435616718,-0.006480620077063198,0.023496634641634248,-0.010230958692633985,-0.021517965870558597,-0.002794535256740633,-0.009740947061405094,-0.007987871749082663,-0.0464322038572984,-0.01148940727905063,-0.011961625432499,-0.008418555118621895,-0.01570773971487739,-0.013863379059841025,-0.00591877846824127,-0.022796088308521284,-0.01650199415285456,-0.00414883084060777,-0.0231260962211694,-0.01898145402477533,-0.0067934526511679435,-0.015269191879923016,-0.06020248983438859
URLSimilarityIndex,-0.42110421978586166,-0.42069446566292124,-0.12143931588410971,1.0,0.5729379086681935,0.16204242039690692,0.5716215837285202,-0.05391526462954753,-0.05848123232369523,-0.10015924597414154,-0.032256584065052975,-0.07898883861116796,-0.44911979470489144,-0.4917606715810191,-0.2995911255026198,-0.5612379424583164,-0.16107479659435742,-0.3417220810120667,-0.07534642205482091,-0.5405543777661652,-0.6048853774297273,0.34638920448274346,0.23114725328602914,-0.07849633215672248,0.3521232218391707,0.6040447116510508,0.543969380808492,0.4023337494266691,0.3132931897579037,0.43341341786509063,-0.06083958889428485,-0.0496342921776593,0.5901952250785205,0.04104182722331839,0.1912076585843427,0.13920238394543874,0.6736904232566364,0.4482273583033657,0.4046549673475182,0.06155264537600074,0.15128994115718564,0.29154219360393113,0.08722785451806041,0.6136200897893563,0.2357280221891255,0.05768258903725577,0.3156786168546694,0.2715895608604117,0.09155576470424855,0.2219596206725415,0.8603580349950561
CharContinuationRate,-0.2411043758168645,-0.5774246352402355,-0.10130658891500607,0.5729379086681935,1.0,0.23722097089075064,0.3498103704523163,0.051438206651898286,-0.4823141510947111,-0.036231183550110006,-0.004371391250905671,-0.021257295794271658,-0.252761137386783,-0.30444842700245883,-0.15849740198887788,-0.3438804391015684,-0.06851730918375633,-0.14534657720358465,-0.034872407791852335,-0.42554154669972655,-0.711019988229347,0.08917039773485942,0.1333512149422973,-0.06886090891430324,0.16452928929289196,0.5509426553147708,0.5685599751060102,0.21301970287652586,0.17726840689978415,0.20670463912373035,-0.031916127348381035,0.019088593648967388,0.3407221550566165,0.021261697356721992,0.1271505255273586,0.08603644593877963,0.38069416452791893,0.24525687810272911,0.22021307527034248,0.07502633885773213,0.09580914901323986,0.17914516635197517,0.05966716028047311,0.34556566444599507,0.13593148976630393,0.027943466048410928,0.1839004950219728,0.14788090849873367,0.04996308586240264,0.12174510432777734,0.4677352998341208
TLDLegitimateProb,-0.01665561393993126,0.02720908512670825,-0.0532195230123121,0.16204242039690692,0.23722097089075064,1.0,0.2742242445157907,0.3867937879741218,-0.250048337147349,-0.01657691072154246,0.0012071890223491813,-0.01099285584001785,-0.004863937524260144,0.1284664480388052,-0.02910075993345213,-0.09083148186401437,-0.009375908184313308,-0.036019205419248516,-0.011254950144085896,-0.09430741807283158,-0.2802745526610964,0.04376435442039425,0.041658476112744286,-0.025271856145442095,0.005597146669786881,0.2985648683675919,0.2962534444081959,0.033452027136519125,0.05815012736358134,0.0815603390688094,-0.008145209206900995,-0.03688361683485982,0.1190608016492038,0.005315806586304268,0.09321939824257545,0.027294486534134462,0.09784288361184351,0.06300359136324911,0.07543992959233778,0.0703097075123692,0.08544108649374925,0.11149383029901055,0.03867275026281743,0.11439352477783375,0.05343199985267537,0.008296283651846191,0.05847473098517826,0.028216146288601016,0.015251621669066686,0.03318222919458858,0.09738926357111853
URLCharProb,-0.24521507082712193,-0.178103608849298,-0.1117685826885214,0.5716215837285202,0.3498103704523163,0.2742242445157907,1.0,0.0698176549171303,-0.08157643683554769,-0.056108040359628006,-0.0290295239021363,-0.04462340801768788,-0.2147006953478114,0.04557728800595143,-0.2907338995280241,-0.7088752996288782,-0.10336321551405649,-0.193289736760593,-0.05523049870249352,-0.30703831037479595,-0.39698227853123097,0.16115908627574876,0.12488380955823056,-0.058659895708166855,0.1569418719852088,0.3613294629836694,0.331181821738635,0.2160968613809298,0.18093048402814585,0.23305947255208045,-0.03598065052979788,-0.030074470707791373,0.3298539784894221,0.019266909202806024,0.11557471415296572,0.07697956054692857,0.37871289694388627,0.2508705630908651,0.21364489711874968,0.04604629409073358,0.0725227109848568,0.1623233031041187,0.062187481656227894,0.3495301476529154,0.12861659691710686,0.034469768387117114,0.1761186180628089,0.14454304492027856,0.05085466715568824,0.12084053642100635,0.46974858996041274
TLDLength,0.033338979570906556,0.15266926317022744,-0.011124868881499052,-0.05391526462954753,0.051438206651898286,0.3867937879741218,0.0698176549171303,1.0,-0.16243118130480935,0.0009737281045103382,0.0019023770524796001,-0.004028495305033179,0.04834266366122211,0.16460806387648824,0.011448468564219088,0.02057305022989793,0.006096472592603386,0.005701677280275794,-0.0024128670173228627,-0.013363395359760053,-0.13947062284591819,-0.03950108953677394,-0.02719758590044769,0.0059786124942793,-0.1040549337623733,0.17462232590239965,0.16906375330188136,-0.05648760020692611,-0.03055208176903695,-0.017619122561272824,-0.005091861459562235,-0.05735619674593691,-0.04963302216247004,-0.006564684647451367,0.014930432542647056,-0.015032705236407509,-0.05772382821156144,-0.046550268443675026,-0.009889711057787395,0.006106787107106912,0.008312568317999227,0.023103421685533226,0.01768906277940629,-0.04348360161399039,-0.02907418824056412,-0.004248903468590372,-0.024108577092786417,-0.04645144346991262,-0.014442346219249263,-0.026486294873167185,-0.07915862308106525
NoOfSubDomain,0.07105807118177496,0.39915746210115605,0.08461882376906057,-0.05848123232369523,-0.4823141510947111,-0.250048337147349,-0.08157643683554769,-0.16243118130480935,1.0,0.015902002781626685,-0.0014774248421659348,0.00246091020778135,0.05414476076396226,-0.04703370614201397,0.03875769265258171,0.06619206222042713,0.01870877526265987,0.02909250263072906,0.024868330795287573,0.16447112116095722,0.2833428448235289,-0.1093658536185791,-0.0035148413528573704,0.01114901593251156,-0.0632070129715512,-0.3120684920691921,-0.3817706769527098,0.0037991621191004283,-0.039196312766547566,-0.04330624507943487,-0.009067489565820989,-0.02395743779880316,-0.03166843854327596,-0.00022122369792799377,-0.018186767088409404,-0.004434588258501021,-0.009581384644306004,0.0010148057256060368,-0.009476813185042015,-0.0445502522571289,-0.035304087982251,-0.024983117809365248,-0.016590087217343796,-0.006321012524688652,-0.009473826674915708,-0.0010029332621281045,-0.010226317561353246,0.003107512459098803,0.001701913408606541,-0.0015381232996913626,-0.005955129316836137
HasObfuscation,0.16198047862214376,0.04164252646059364,0.0012392627037305795,-0.10015924597414154,-0.036231183550110006,-0.01657691072154246,-0.056108040359628006,0.0009737281045103382,0.015902002781626685,1.0,0.2918575517791222,0.798790752588807,0.1337741838509324,0.04271601366857538,0.15770179531146644,0.08266034121620845,0.1327755474197269,0.10678179616510501,0.33526709252936904,0.16643184142987924,0.08608527324109332,-0.014200840680550659,-0.011577196841905363,0.005220319909632142,-0.0061501828560068484,-0.045751238943474506,-0.041663418074353226,-0.021323054556091754,-0.013183601873121252,-0.010223597272916465,0.005858602849725115,-0.008802937492924053,-0.03648591156389041,-0.0025770073566638353,-0.009998043995465564,-0.0069994667633129495,-0.040297894185430866,0.006663126753918146,0.004395748877492063,0.018351933566874735,-0.006924362796002912,-0.009674085861771922,-0.002710963134934122,-0.014249303934339878,-0.012996645239627258,-0.002841441265736406,-0.0157003134532192,-0.016541369688588457,-0.004463316798957829,-0.013342481091285299,-0.052472740482021024
