,count,mean,std,min,25%,50%,75%,max
URLLength,235795.0,34.57309527343667,41.314152677985916,13.0,23.0,27.0,34.0,6097.0
DomainLength,235795.0,21.470395894739074,9.150793223922431,4.0,16.0,20.0,24.0,110.0
IsDomainIP,235795.0,0.0027057401556436736,0.051946420182938345,0.0,0.0,0.0,0.0,1.0
URLSimilarityIndex,235795.0,78.43077796356299,28.976054664644618,0.155574352,57.02479339,100.0,100.0,100.0
CharContinuationRate,235795.0,0.8455082347139422,0.21663242066906024,0.0,0.68,1.0,1.0,1.0
TLDLegitimateProb,235795.0,0.26042296015437133,0.25162823518289845,0.0,0.0059772,0.0799628,0.5229071,0.5229071
URLCharProb,235795.0,0.055747241216756074,0.010587075578658069,0.001082764,0.050747225,0.057970266,0.0628754855,0.090823664
TLDLength,235795.0,2.7644564134099534,0.599738659933323,2.0,2.0,3.0,3.0,13.0
NoOfSubDomain,235795.0,1.1647575224241395,0.6009693258418012,0.0,1.0,1.0,1.0,10.0
HasObfuscation,235795.0,0.0020568714349328866,0.045306174193610986,0.0,0.0,0.0,0.0,1.0
NoOfObfuscatedChar,235795.0,0.024860578044487797,1.8762492464410527,0.0,0.0,0.0,0.0,447.0
ObfuscationRatio,235795.0,0.00013842956805699868,0.0038172102277650565,0.0,0.0,0.0,0.0,0.348
NoOfLettersInURL,235795.0,19.428919188277952,29.090329829404034,0.0,10.0,14.0,20.0,5191.0
LetterRatioInURL,235795.0,0.5159455119913484,0.12331468188180589,0.0,0.435,0.519,0.594,0.926
NoOfDegitsInURL,235795.0,1.8810110477321402,11.886695488481859,0.0,0.0,0.0,0.0,2011.0
DegitRatioInURL,235795.0,0.028616166585381374,0.07089730508474205,0.0,0.0,0.0,0.0,0.684
NoOfEqualsInURL,235795.0,0.06224050552386607,0.9347041014677184,0.0,0.0,0.0,0.0,176.0
NoOfQMarkInURL,235795.0,0.029402659089463306,0.1935054076582886,0.0,0.0,0.0,0.0,4.0
NoOfAmpersandInURL,235795.0,0.02505566275790411,0.8364475373030874,0.0,0.0,0.0,0.0,149.0
NoOfOtherSpecialCharsInURL,235795.0,2.340198053393838,3.527603494591275,0.0,1.0,1.0,3.0,499.0
SpacialCharRatioInURL,235795.0,0.06330937466867406,0.032392973788659386,0.0,0.038,0.05,0.083,0.397
IsHTTPS,235795.0,0.7826247375898556,0.412460882015862,0.0,1.0,1.0,1.0,1.0
LineOfCode,235795.0,1141.9004431815772,3419.9505134167707,2.0,18.0,429.0,1277.0,442666.0
LargestLineLength,235795.0,12789.532623677347,152201.0992281201,22.0,200.0,1090.0,8047.0,13975732.0
HasTitle,235795.0,0.8612608409847538,0.3456748638959021,0.0,1.0,1.0,1.0,1.0
DomainTitleMatchScore,235795.0,50.131427434133926,49.67698061734399,0.0,0.0,75.0,100.0,100.0
URLTitleMatchScore,235795.0,52.12209777556208,49.600564392899344,0.0,0.0,100.0,100.0,100.0
HasFavicon,235795.0,0.36176763714243304,0.4805130519233494,0.0,0.0,0.0,1.0,1.0
Robots,235795.0,0.26654085116308657,0.4421511675031861,0.0,0.0,0.0,1.0,1.0
IsResponsive,235795.0,0.624512818337963,0.4842494734814888,0.0,0.0,1.0,1.0,1.0
NoOfURLRedirect,235795.0,0.13343794397675948,0.34004815758840845,0.0,0.0,0.0,0.0,1.0
NoOfSelfRedirect,235795.0,0.040106872495175895,0.19621028144515104,0.0,0.0,0.0,0.0,1.0
HasDescription,235795.0,0.4401832099917301,0.49641010939156277,0.0,0.0,0.0,1.0,1.0
NoOfPopup,235795.0,0.22176466846201148,3.870539973572305,0.0,0.0,0.0,0.0,602.0
NoOfiFrame,235795.0,1.5886384359295151,5.762561381630998,0.0,0.0,0.0,1.0,1602.0
HasExternalFormSubmit,235795.0,0.043987361903348246,0.20506743339753894,0.0,0.0,0.0,0.0,1.0
HasSocialNet,235795.0,0.45657032591870056,0.49811134865370194,0.0,0.0,0.0,1.0,1.0
HasSubmitButton,235795.0,0.41430055768782204,0.4926019028458807,0.0,0.0,0.0,1.0,1.0
HasHiddenFields,235795.0,0.3777985114188172,0.48483790394778226,0.0,0.0,0.0,1.0,1.0
HasPasswordField,235795.0,0.10226255857842617,0.30299392243938156,0.0,0.0,0.0,0.0,1.0
Bank,235795.0,0.12708920884666766,0.3330735839516595,0.0,0.0,0.0,0.0,1.0
Pay,235795.0,0.2370067219406688,0.42524734286420635,0.0,0.0,0.0,0.0,1.0
Crypto,235795.0,0.023473780190419645,0.15140296908976256,0.0,0.0,0.0,0.0,1.0
HasCopyrightInfo,235795.0,0.48677452872198307,0.4998261161795909,0.0,0.0,0.0,1.0,1.0
NoOfImage,235795.0,26.0756886278335,79.4118147206733,0.0,0.0,8.0,29.0,8956.0
NoOfCSS,235795.0,6.333111389130389,74.86629617975882,0.0,0.0,2.0,8.0,35820.0
NoOfJS,235795.0,10.522305392395937,22.312192002398827,0.0,0.0,6.0,15.0,6957.0
NoOfSelfRef,235795.0,65.07111261901228,176.68753898140923,0.0,0.0,12.0,88.0,27397.0
NoOfEmptyRef,235795.0,2.377628872537586,17.641097373711712,0.0,0.0,0.0,1.0,4887.0
NoOfExternalRef,235795.0,49.262516168705865,161.02742952281656,0.0,1.0,10.0,57.0,27516.0
label,235795.0,0.5718950783519583,0.494805149563954,0.0,0.0,1.0,1.0,1.0
