column,outlier_count,outlier_percentage,iqr_lower_bound,iqr_upper_bound
NoOfSubDomain,57389,24.3385,1.0,1.0
Pay,55885,23.7007,0.0,0.0
DegitRatioInURL,51461,21.8245,0.0,0.0
NoOfDegitsInURL,51461,21.8245,0.0,0.0
IsHTTPS,51256,21.7375,1.0,1.0
NoOfEmptyRef,38885,16.491,-1.5,2.5
NoOfiFrame,34441,14.6063,-1.5,2.5
HasTitle,32714,13.8739,1.0,1.0
NoOfURLRedirect,31464,13.3438,0.0,0.0
Bank,29967,12.7089,0.0,0.0
HasPasswordField,24113,10.2263,0.0,0.0
NoOfExternalRef,22780,9.6609,-83.0,141.0
URLLength,22493,9.5392,6.5,50.5
NoOfLettersInURL,19662,8.3386,-5.0,35.0
LineOfCode,19280,8.1766,-1870.5,3165.5
NoOfImage,18362,7.7873,-43.5,72.5
NoOfCSS,17906,7.5939,-12.0,20.0
LargestLineLength,17503,7.423,-11570.5,19817.5
NoOfSelfRef,15576,6.6057,-132.0,220.0
DomainLength,13474,5.7143,4.0,36.0
NoOfPopup,13411,5.6876,0.0,0.0
NoOfOtherSpecialCharsInURL,12380,5.2503,-2.0,6.0
NoOfJS,11852,5.0264,-22.5,37.5
HasExternalFormSubmit,10372,4.3987,0.0,0.0
NoOfSelfRedirect,9457,4.0107,0.0,0.0
URLCharProb,8569,3.6341,0.03255483425000001,0.08106787624999999
NoOfQMarkInURL,6130,2.5997,0.0,0.0
Crypto,5535,2.3474,0.0,0.0
NoOfEqualsInURL,5401,2.2905,0.0,0.0
SpacialCharRatioInURL,3344,1.4182,-0.029500000000000005,0.15050000000000002
TLDLength,2134,0.905,0.5,4.5
LetterRatioInURL,1417,0.6009,0.19650000000000004,0.8324999999999999
NoOfAmpersandInURL,887,0.3762,0.0,0.0
CharContinuationRate,679,0.288,0.20000000000000012,1.48
IsDomainIP,638,0.2706,0.0,0.0
HasObfuscation,485,0.2057,0.0,0.0
NoOfObfuscatedChar,485,0.2057,0.0,0.0
ObfuscationRatio,485,0.2057,0.0,0.0
DomainTitleMatchScore,0,0.0,-150.0,250.0
HasCopyrightInfo,0,0.0,-1.5,2.5
HasDescription,0,0.0,-1.5,2.5
HasFavicon,0,0.0,-1.5,2.5
HasHiddenFields,0,0.0,-1.5,2.5
HasSocialNet,0,0.0,-1.5,2.5
HasSubmitButton,0,0.0,-1.5,2.5
IsResponsive,0,0.0,-1.5,2.5
Robots,0,0.0,-1.5,2.5
TLDLegitimateProb,0,0.0,-0.7694176499999998,1.29830195
URLSimilarityIndex,0,0.0,-7.438016525000009,164.462809915
URLTitleMatchScore,0,0.0,-150.0,250.0
label,0,0.0,-1.5,2.5
