feature,transformed_column_count,mean_abs_shap_value_phishing,mean_signed_shap_value_phishing
LineOfCode,1,0.1115887503114813,-0.0009584158713034571
IsHTTPS,1,0.07719475927357605,0.00146488663439533
NoOfSelfRef,1,0.05771110491570595,7.802132775453288e-05
NoOfImage,1,0.0302575210838473,0.0005801004595827747
NoOfOtherSpecialCharsInURL,1,0.02906351701498279,-0.0005216263616115643
NoOfDegitsInURL,1,0.022758808172515004,0.0026118243618077942
NoOfExternalRef,1,0.022510301037591093,-9.385225685012988e-06
LetterRatioInURL,1,0.021387865346425623,0.0031567749634273928
NoOfSubDomain,1,0.018912138812426434,0.011963115880580657
NoOfJS,1,0.01710232238535101,0.0002411418322009291
HasSocialNet,1,0.014409345878811791,0.0005414462929967008
LargestLineLength,1,0.010888751566392527,0.004860090977092156
HasDescription,1,0.009965564215941688,0.0016294151033478107
NoOfCSS,1,0.008531970545320167,0.0006583772185122742
HasCopyrightInfo,1,0.007815154573937711,0.0010824274917811605
URLLength,1,0.00738284756373947,0.00023902111886448798
SpacialCharRatioInURL,1,0.006643866569131098,-0.0004634308730422803
DegitRatioInURL,1,0.005209497467686761,0.0004993065696711368
DomainTitleMatchScore,1,0.004658175761971694,0.00030044751951046125
NoOfLettersInURL,1,0.004111168317226675,0.0006431707854036531
TLD,663,0.003139939000667308,0.0006102181355408149
NoOfEmptyRef,1,0.0029292937449613694,-0.00012742750536271202
DomainLength,1,0.002315672063202482,0.00033673486536037997
HasFavicon,1,0.0006076518801354428,5.280603630606901e-06
NoOfiFrame,1,0.0005659192830408861,1.1645431608403519e-05
TLDLength,1,0.0005138971413225877,0.0001455628687862184
NoOfPopup,1,0.00037790036301204623,-4.7404893659177714e-05
HasTitle,1,0.0002839300928316814,9.037942539981925e-05
URLTitleMatchScore,1,0.0002500696447144462,1.1800356038576987e-05
Robots,1,0.00024405756363609081,9.128995768137446e-06
IsResponsive,1,7.976224013370688e-05,-4.929232622299351e-06
HasSubmitButton,1,6.577587141347001e-05,8.22240868007493e-06
HasPasswordField,1,6.3421036145519e-05,1.8258339422208358e-05
Pay,1,4.311712043394942e-05,1.2189765555071689e-06
HasHiddenFields,1,3.507732369637747e-05,-2.4966640265325456e-06
Bank,1,3.448700990544349e-05,-5.934543708892664e-06
Crypto,1,2.6833261687716434e-05,3.1272762787794417e-06
NoOfURLRedirect,1,2.0356222121560666e-05,6.357080523669759e-06
NoOfEqualsInURL,1,1.5512334586526938e-05,-4.379415864060313e-06
HasExternalFormSubmit,1,1.1409452947058423e-05,6.615460204605716e-07
HasObfuscation,1,0.0,0.0
IsDomainIP,1,0.0,0.0
NoOfAmpersandInURL,1,0.0,0.0
NoOfObfuscatedChar,1,0.0,0.0
NoOfQMarkInURL,1,0.0,0.0
NoOfSelfRedirect,1,0.0,0.0
ObfuscationRatio,1,0.0,0.0
