protocol_id,model_name,candidate_id,weighting,fit_scope,dataset_split,is_selected,n_train_rows,n_eval_rows,n_input_features,positive_label,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,roc_auc,phishing_precision,phishing_recall,phishing_f1,phishing_support,legitimate_precision,legitimate_recall,legitimate_f1,legitimate_support,cm_phishing_as_phishing,cm_phishing_as_legitimate,cm_legitimate_as_phishing,cm_legitimate_as_legitimate,fit_seconds,predict_seconds,parameters_json
stratified_normalized_host_group_70_15_15_v1,xgboost,xgb_01,none,train,validation,False,165055,35369,47,0,0.999915,0.999901,0.999926,0.999901,0.999913,0.999827,1.000000,1.000000,0.999802,0.999901,15141,0.999852,1.000000,0.999926,20228,15138,3,0,20228,0.761941,0.039455,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.8}"
stratified_normalized_host_group_70_15_15_v1,xgboost,xgb_02,none,train,validation,False,165055,35369,47,0,0.999943,0.999934,0.999951,0.999934,0.999942,0.999885,1.000000,1.000000,0.999868,0.999934,15141,0.999901,1.000000,0.999951,20228,15139,2,0,20228,0.951538,0.060509,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.8}"
stratified_normalized_host_group_70_15_15_v1,xgboost,xgb_03,none,train,validation,False,165055,35369,47,0,0.999915,0.999901,0.999926,0.999901,0.999913,0.999827,1.000000,1.000000,0.999802,0.999901,15141,0.999852,1.000000,0.999926,20228,15138,3,0,20228,1.397137,0.076254,"{""colsample_bytree"": 0.9, ""gamma"": 0, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.9}"
stratified_normalized_host_group_70_15_15_v1,xgboost,xgb_04,none,train,validation,False,165055,35369,47,0,0.999943,0.999934,0.999951,0.999934,0.999942,0.999885,1.000000,1.000000,0.999868,0.999934,15141,0.999901,1.000000,0.999951,20228,15139,2,0,20228,0.590357,0.036038,"{""colsample_bytree"": 1.0, ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 1.0}"
stratified_normalized_host_group_70_15_15_v1,xgboost,xgb_02_balanced,balanced_sample_weight,train,validation,True,165055,35369,47,0,0.999972,0.999967,0.999975,0.999967,0.999971,0.999942,1.000000,1.000000,0.999934,0.999967,15141,0.999951,1.000000,0.999975,20228,15140,1,0,20228,1.068576,0.067146,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.8}"
stratified_normalized_host_group_70_15_15_v1,lightgbm,lgb_01,none,train,validation,False,165055,35369,47,0,0.999943,0.999934,0.999951,0.999934,0.999942,0.999885,1.000000,1.000000,0.999868,0.999934,15141,0.999901,1.000000,0.999951,20228,15139,2,0,20228,1.935755,0.122109,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_samples"": 50, ""n_estimators"": 300, ""num_leaves"": 15, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.8, ""subsample_freq"": 1}"
stratified_normalized_host_group_70_15_15_v1,lightgbm,lgb_02,none,train,validation,False,165055,35369,47,0,0.999972,0.999967,0.999975,0.999967,0.999971,0.999942,1.000000,1.000000,0.999934,0.999967,15141,0.999951,1.000000,0.999975,20228,15140,1,0,20228,2.497430,0.197488,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_samples"": 50, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.8, ""subsample_freq"": 1}"
stratified_normalized_host_group_70_15_15_v1,lightgbm,lgb_03,none,train,validation,False,165055,35369,47,0,0.999972,0.999967,0.999975,0.999967,0.999971,0.999942,1.000000,1.000000,0.999934,0.999967,15141,0.999951,1.000000,0.999975,20228,15140,1,0,20228,4.418980,0.330561,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.9, ""subsample_freq"": 1}"
stratified_normalized_host_group_70_15_15_v1,lightgbm,lgb_04,none,train,validation,False,165055,35369,47,0,0.999972,0.999967,0.999975,0.999967,0.999971,0.999942,1.000000,1.000000,0.999934,0.999967,15141,0.999951,1.000000,0.999975,20228,15140,1,0,20228,2.035946,0.119985,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_samples"": 20, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 1.0, ""subsample_freq"": 1}"
stratified_normalized_host_group_70_15_15_v1,lightgbm,lgb_03_balanced,balanced_sample_weight,train,validation,True,165055,35369,47,0,0.999972,0.999967,0.999975,0.999967,0.999971,0.999942,1.000000,1.000000,0.999934,0.999967,15141,0.999951,1.000000,0.999975,20228,15140,1,0,20228,4.410104,0.325282,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 31, ""reg_alpha"": 0, ""reg_lambda"": 1, ""subsample"": 0.9, ""subsample_freq"": 1}"
