feature,role,week6_decision,reason
FILENAME,identifier,exclude_from_features,Identifier or raw text; retained only for grouping/future text work.
URL,identifier,exclude_from_features,Identifier or raw text; retained only for grouping/future text work.
URLLength,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
Domain,identifier,exclude_from_features,Identifier or raw text; retained only for grouping/future text work.
DomainLength,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
IsDomainIP,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
TLD,categorical_feature,retain_train_fitted_one_hot,Retain raw category; never use placeholder ordinal magnitude.
URLSimilarityIndex,derived_feature,quarantine,Derived corpus/similarity provenance is not fold-safe enough for primary results.
CharContinuationRate,derived_feature,quarantine,Derived corpus/similarity provenance is not fold-safe enough for primary results.
TLDLegitimateProb,derived_feature,quarantine,Derived corpus/similarity provenance is not fold-safe enough for primary results.
URLCharProb,derived_feature,quarantine,Derived corpus/similarity provenance is not fold-safe enough for primary results.
TLDLength,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfSubDomain,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasObfuscation,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfObfuscatedChar,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
ObfuscationRatio,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfLettersInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
LetterRatioInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfDegitsInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
DegitRatioInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfEqualsInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfQMarkInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfAmpersandInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfOtherSpecialCharsInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
SpacialCharRatioInURL,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
IsHTTPS,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
LineOfCode,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
LargestLineLength,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasTitle,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
Title,identifier,exclude_from_features,Identifier or raw text; retained only for grouping/future text work.
DomainTitleMatchScore,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
URLTitleMatchScore,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasFavicon,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
Robots,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
IsResponsive,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfURLRedirect,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfSelfRedirect,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasDescription,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfPopup,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfiFrame,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasExternalFormSubmit,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasSocialNet,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasSubmitButton,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasHiddenFields,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasPasswordField,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
Bank,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
Pay,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
Crypto,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
HasCopyrightInfo,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfImage,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfCSS,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfJS,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfSelfRef,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfEmptyRef,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
NoOfExternalRef,tabular_feature,retain_dataset_experiment_only,Valid for dataset comparison; deployment-time extraction is not yet audited.
label,target,exclude_from_features,Outcome label.
